sequenceID,collectionDate,postCode,longitude,latitude
hCoV-19/Belgium/DBWC-0325340/2020|EPI_ISL_462194|2020-03-25,2020.22950819672,2600,654070.289439216,708472.766905742
hCoV-19/Belgium/UGent-48/2020|EPI_ISL_434364|2020-03-30,2020.24316939891,NA,NA,NA
hCoV-19/Belgium/GHB-03021/2020|EPI_ISL_407976|2020-02-03|Europe,2020.09016393443,8560,566306.80953035,670606.773329757
hCoV-19/Belgium/KWA-0323410/2020|EPI_ISL_462264|2020-03-23,2020.22404371585,9100,632329.352109101,708451.030398367
hCoV-19/Belgium/JLJ-0320101/2020|EPI_ISL_420357|2020-03-20|Europe,2020.21584699454,1040,652725.731453406,669086.593657165
hCoV-19/Belgium/MSE-0324121/2020|EPI_ISL_420378|2020-03-24|Europe,2020.22677595628,7340,612156.090177799,622382.610918291
hCoV-19/Belgium/BJ-0324192/2020|EPI_ISL_420412|2020-03-24|Europe,2020.22677595628,3582,715170.260911246,694378.032006643
hCoV-19/Belgium/DGL-0326336/2020|EPI_ISL_462190|2020-03-26,2020.23224043716,8460,554390.8441224,706762.474483647
hCoV-19/Belgium/DAA-0327369/2020|EPI_ISL_462223|2020-03-27,2020.2349726776,8540,578554.594130932,668971.664755308
hCoV-19/Belgium/ITM_C193/2020|EPI_ISL_450731|2020-03-31|Europe,2020.24590163934,NA,NA,NA
hCoV-19/Belgium/ULG-6688/2020|EPI_ISL_418625|2020-03-14|Europe,2020.19945355191,4633,748397.527960588,648087.096562938
hCoV-19/Belgium/ULG-10028/2020|EPI_ISL_421202|2020-03-30|Europe,2020.24316939891,4802,756171.996666389,641408.05015463
hCoV-19/Belgium/ULG-10032/2020|EPI_ISL_421206|2020-03-31|Europe,2020.24590163934,4100,728120.996007513,641783.590907886
hCoV-19/Belgium/ULG-10052/2020|EPI_ISL_424657|2020-04-05|Europe,2020.25956284153,4900,755208.645645615,630564.416883896
hCoV-19/Belgium/ULG-0184/2020|EPI_ISL_447127|2020-03-23|Europe,2020.22404371585,4750,783592.583915909,633594.635219964
hCoV-19/Belgium/rega-0423302/2020|EPI_ISL_462156|2020-04-23,2020.3087431694,4700,776063.346164795,642004.279437344
hCoV-19/Belgium/ULG-10145/2020|EPI_ISL_447137|2020-04-17|Europe,2020.29234972678,4700,776959.006924124,643955.040848366
hCoV-19/Belgium/rega-0423298/2020|EPI_ISL_462152|2020-04-23,2020.3087431694,4700,783006.262035757,645727.449992765
hCoV-19/Belgium/ULG-10169/2020|EPI_ISL_447139|2020-04-11|Europe,2020.27595628415,NA,NA,NA
hCoV-19/Belgium/ULG-10088/2020|EPI_ISL_424646|2020-04-04|Europe,2020.25683060109,4720,765314.036763368,657012.79581117
hCoV-19/Belgium/ULG-10089/2020|EPI_ISL_424643|2020-04-04|Europe,2020.25683060109,4720,766007.327830952,659721.667105112
hCoV-19/Belgium/ULG-10096/2020|EPI_ISL_427389|2020-04-05,2020.25956284153,4721,767912.368129012,659898.132876325
hCoV-19/Belgium/ULG-10095/2020|EPI_ISL_424651|2020-04-05|Europe,2020.25956284153,4760,788523.748538198,621391.079976291
hCoV-19/Belgium/ULG-10146/2020|EPI_ISL_447138|2020-04-17|Europe,2020.29234972678,4700,778648.891159856,644602.295578747
hCoV-19/Belgium/rega-0423303/2020|EPI_ISL_462157|2020-04-23,2020.3087431694,4837,762960.499727477,646907.942200398
hCoV-19/Belgium/rega-0423299/2020|EPI_ISL_462153|2020-04-23,2020.3087431694,4760,790410.616604529,616567.188939974
hCoV-19/Belgium/rega-0423297/2020|EPI_ISL_462151|2020-04-23,2020.3087431694,4720,765324.685370526,656864.291915067
hCoV-19/Belgium/rega-0423300/2020|EPI_ISL_462154|2020-04-23,2020.3087431694,4720,765994.897038398,658631.237906772
hCoV-19/Belgium/rega-0423301/2020|EPI_ISL_462155|2020-04-23,2020.3087431694,4720,765757.544950512,658531.374114447
hCoV-19/Belgium/HLE-0327390/2020|EPI_ISL_462244|2020-03-27,2020.2349726776,3971,710120.544667402,699847.698014453
hCoV-19/Belgium/Rega-0330255/2020|EPI_ISL_458225|2020-03-30|Europe,2020.24316939891,3500,718766.450955507,676890.377503904
hCoV-19/Belgium/ULG-10165/2020|EPI_ISL_447159|2020-04-19|Europe,2020.29781420765,4800,753805.502723976,645511.877420369
hCoV-19/Belgium/CS-031052/2020|EPI_ISL_418800|2020-03-10|Europe,2020.18852459016,2275,682988.559235956,720399.179734595
hCoV-19/Belgium/ULG-10166/2020|EPI_ISL_447160|2020-04-19|Europe,2020.29781420765,4800,753843.619672729,646783.717876115
hCoV-19/Belgium/ULG-10187/2020|EPI_ISL_455975|2020-5-11|Europe,2020.35792349727,4860,752199.549317014,640398.527116756
hCoV-19/Belgium/ULG-10132/2020|EPI_ISL_427377|2020-04-07|Europe,2020.2650273224,4040,738179.809833814,654053.369735214
hCoV-19/Belgium/CG-030158/2020|EPI_ISL_418987|2020-03-01|Europe,2020.16393442623,4837,770787.908618678,638342.365206904
hCoV-19/Belgium/MJP-0306100/2020|EPI_ISL_420356|2020-03-06|Europe,2020.17759562842,4841,760313.572091665,653499.721368531
hCoV-19/Belgium/SJ-030583/2020|EPI_ISL_420339|2020-03-05|Europe,2020.17486338798,4830,760083.212471651,644328.116767948
hCoV-19/Belgium/AC-030982/2020|EPI_ISL_420338|2020-03-09|Europe,2020.18579234973,4671,743982.01764556,650777.196483673
hCoV-19/Belgium/ULG-6743/2020|EPI_ISL_418627|2020-03-14|Europe,2020.19945355191,4837,771679.734280998,643303.267765298
hCoV-19/Belgium/ULG-6842/2020|EPI_ISL_447121|2020-03-14|Europe,2020.19945355191,3793,754693.907387243,661283.761418774
hCoV-19/Belgium/ULG-7626/2020|EPI_ISL_418633|2020-03-17|Europe,2020.20765027322,4770,781623.756248252,611789.585609064
hCoV-19/Belgium/ULG-10120/2020|EPI_ISL_427368|2020-04-07|Europe,2020.2650273224,4430,732988.073192809,650002.13291104
hCoV-19/Belgium/UGent-10/2020|EPI_ISL_425054|2020-03-25|Europe,2020.22950819672,NA,NA,NA
hCoV-19/Belgium/GGO-0327349/2020|EPI_ISL_462203|2020-03-27,2020.2349726776,8000,567997.858946035,714518.763266168
hCoV-19/Belgium/UGent-3/2020|EPI_ISL_425051|2020-03-24|Europe,2020.22677595628,NA,NA,NA
hCoV-19/Belgium/UGent-11/2020|EPI_ISL_419259|2020-03-24|Europe,2020.22677595628,NA,NA,NA
hCoV-19/Belgium/UGent-17/2020|EPI_ISL_425057|2020-03-26|Europe,2020.23224043716,NA,NA,NA
hCoV-19/Belgium/UGent-19/2020|EPI_ISL_425059|2020-03-24|Europe,2020.22677595628,NA,NA,NA
hCoV-19/Belgium/UGent-61/2020|EPI_ISL_451172|2020-04-08,2020.26775956284,NA,NA,NA
hCoV-19/Belgium/UGent-15/2020|EPI_ISL_425056|2020-03-25|Europe,2020.22950819672,NA,NA,NA
hCoV-19/Belgium/UGent-1/2020|EPI_ISL_425048|2020-03-24|Europe,2020.22677595628,NA,NA,NA
hCoV-19/Belgium/UGent-20/2020|EPI_ISL_425060|2020-03-25|Europe,2020.22950819672,NA,NA,NA
hCoV-19/Belgium/UGent-18/2020|EPI_ISL_425058|2020-03-23|Europe,2020.22404371585,NA,NA,NA
hCoV-19/Belgium/UGent-21/2020|EPI_ISL_425061|2020-03-25|Europe,2020.22950819672,NA,NA,NA
hCoV-19/Belgium/UGent-31/2020|EPI_ISL_434349|2020-03-26|Europe,2020.23224043716,NA,NA,NA
hCoV-19/Belgium/Rega-0329240/2020|EPI_ISL_458210|2020-03-29|Europe,2020.24043715847,7011,617976.04143214,630410.597107944
hCoV-19/Belgium/DV-0324117/2020|EPI_ISL_420374|2020-03-24|Europe,2020.22677595628,1652,647436.51559009,658856.207692313
hCoV-19/Belgium/ITM_C285/2020|EPI_ISL_434379|2020-04-03|Europe,2020.25409836066,NA,NA,NA
hCoV-19/Belgium/ITM_C585/2020|EPI_ISL_434381|2020-04-16|Europe,2020.28961748634,NA,NA,NA
hCoV-19/Belgium/ULG-7019/2020|EPI_ISL_417025|2020-03-15|Europe,2020.20218579235,4053,737707.589729516,644107.601292089
hCoV-19/Belgium/ULG-10080/2020|EPI_ISL_424641|2020-04-03|Europe,2020.25409836066,4130,733214.531552291,635868.408763382
hCoV-19/Belgium/ULG-6638/2020|EPI_ISL_417017|2020-03-14|Europe,2020.19945355191,4000,732833.298234528,645496.130779693
hCoV-19/Belgium/SR-0319112/2020|EPI_ISL_420369|2020-03-19|Europe,2020.2131147541,7100,637859.19502108,632252.022263812
hCoV-19/Belgium/ULG-3662/2020|EPI_ISL_417008|2020-03-07|Europe,2020.18032786885,4680,736895.282383552,657591.771917594
hCoV-19/Belgium/ULG-3683/2020|EPI_ISL_417011|2020-03-07|Europe,2020.18032786885,4030,738014.360673969,646101.216989852
hCoV-19/Belgium/ULG-3665/2020|EPI_ISL_417009|2020-03-07|Europe,2020.18032786885,4680,737610.368292887,655987.805244944
hCoV-19/Belgium/ULG-10022/2020|EPI_ISL_421197|2020-03-31|Europe,2020.24590163934,4032,738423.533533618,645175.440375378
hCoV-19/Belgium/ULG-0183/2020|EPI_ISL_447141|2020-03-23|Europe,2020.22404371585,4700,771291.016031757,648722.063035101
hCoV-19/Belgium/DGL-0409415/2020|EPI_ISL_462269|2020-04-09,2020.27049180328,6200,661893.90824983,619509.321845003
hCoV-19/Belgium/MNL-0324130/2020|EPI_ISL_420387|2020-03-24|Europe,2020.22677595628,1082,645109.954755827,673235.654067548
hCoV-19/Belgium/IL-0326322/2020|EPI_ISL_462176|2020-03-26,2020.23224043716,6211,658290.557716334,631662.248602259
hCoV-19/Belgium/DME-0324135/2020|EPI_ISL_420392|2020-03-24|Europe,2020.22677595628,3350,698047.89762907,670101.109616007
hCoV-19/Belgium/BS-0331361/2020|EPI_ISL_462215|2020-03-31,2020.24590163934,6230,651491.117361354,635215.846043767
hCoV-19/Belgium/Rega-0330251/2020|EPI_ISL_458221|2020-03-30|Europe,2020.24316939891,2390,672102.46313337,721280.27614978
hCoV-19/Belgium/DC-0322355/2020|EPI_ISL_462209|2020-03-22,2020.22131147541,2400,706114.552496834,710692.072436232
hCoV-19/Belgium/JJC-0325165/2020|EPI_ISL_420422|2020-03-25|Europe,2020.22950819672,3390,690072.960299478,682460.707861464
hCoV-19/Belgium/Rega-0329234/2020|EPI_ISL_458204|2020-03-29|Europe,2020.24043715847,3583,708299.528446153,694438.711141177
hCoV-19/Belgium/Rega-0320262/2020|EPI_ISL_458232|2020-03-20|Europe,2020.21584699454,3210,685412.62941692,674063.709320621
hCoV-19/Belgium/CGR-0330328/2020|EPI_ISL_462182|2020-03-30,2020.24316939891,2430,698609.845446575,698273.354839221
hCoV-19/Belgium/VSPE-0328388/2020|EPI_ISL_462242|2020-03-28,2020.23770491803,3900,721415.178959928,714257.812322577
hCoV-19/Belgium/DMM-0325180/2020|EPI_ISL_420437|2020-03-25|Europe,2020.22950819672,1850,652969.524646665,682760.32949797
hCoV-19/Belgium/SRL-0330331/2020|EPI_ISL_462185|2020-03-30,2020.24316939891,2980,674852.613167297,718395.810602827
hCoV-19/Belgium/ITM_C026/2020|EPI_ISL_450724|2020-03-25|Europe,2020.22950819672,NA,NA,NA
hCoV-19/Belgium/FCA-0327348/2020|EPI_ISL_462202|2020-03-27,2020.2349726776,8310,572738.985399065,712350.406528173
hCoV-19/Belgium/DVG-0325146/2020|EPI_ISL_420403|2020-03-25|Europe,2020.22950819672,9500,612590.305259195,661316.715486745
hCoV-19/Belgium/VBWF-0330329/2020|EPI_ISL_462183|2020-03-30,2020.24316939891,2390,674629.398216612,720307.624816851
hCoV-19/Belgium/HAA-030953/2020|EPI_ISL_418982|2020-03-09|Europe,2020.18579234973,2260,686459.007257162,703620.783833684
hCoV-19/Belgium/VRJM-0323114/2020|EPI_ISL_420371|2020-03-23|Europe,2020.22404371585,2620,648572.717890105,705046.906303553
hCoV-19/Belgium/VHV-0324118/2020|EPI_ISL_420375|2020-03-24|Europe,2020.22677595628,3080,661043.249116965,665975.562516932
hCoV-19/Belgium/UGent-9/2020|EPI_ISL_425053|2020-03-25|Europe,2020.22950819672,NA,NA,NA
hCoV-19/Belgium/BJ-0325181/2020|EPI_ISL_420438|2020-03-25|Europe,2020.22950819672,2230,686128.305070733,692747.617948766
hCoV-19/Belgium/CL-0330332/2020|EPI_ISL_462186|2020-03-30,2020.24316939891,2110,662439.682957455,712666.037269849
hCoV-19/Belgium/Rega-0329232/2020|EPI_ISL_458202|2020-03-29|Europe,2020.24043715847,3012,673541.779546036,676909.563494759
hCoV-19/Belgium/VPE-030650/2020|EPI_ISL_418805|2020-03-06|Europe,2020.17759562842,9800,585702.366292991,686783.894751664
hCoV-19/Belgium/UGent-24/2020|EPI_ISL_425063|2020-03-24|Europe,2020.22677595628,NA,NA,NA
hCoV-19/Belgium/TMG-0326391/2020|EPI_ISL_462245|2020-03-26,2020.23224043716,3990,725806.565902782,703277.645397533
hCoV-19/Belgium/UGent-2/2020|EPI_ISL_425050|2020-03-24|Europe,2020.22677595628,NA,NA,NA
hCoV-19/Belgium/ITM_C169/2020|EPI_ISL_450729|2020-03-29|Europe,2020.24043715847,NA,NA,NA
hCoV-19/Belgium/UGent-47/2020|EPI_ISL_434363|2020-03-30|Europe,2020.24316939891,NA,NA,NA
hCoV-19/Belgium/DWW-0330306/2020|EPI_ISL_462160|2020-03-30,2020.24316939891,2260,687346.205780285,701933.777909167
hCoV-19/Belgium/RS-030257/2020|EPI_ISL_418986|2020-03-02|Europe,2020.16666666667,3320,683078.246636182,661748.19122577
hCoV-19/Belgium/UGent-70/2020|EPI_ISL_451181|2020-04-14|Europe,2020.28415300546,NA,NA,NA
hCoV-19/Belgium/VNP-0320107/2020|EPI_ISL_420363|2020-03-20|Europe,2020.21584699454,1170,655596.09858499,663675.674956061
hCoV-19/Belgium/UGent-37/2020|EPI_ISL_434355|2020-03-27|Europe,2020.2349726776,NA,NA,NA
hCoV-19/Belgium/Rega-0328206/2020|EPI_ISL_458176|2020-03-28|Europe,2020.23770491803,7010,NA,NA
hCoV-19/Belgium/VMC-0325337/2020|EPI_ISL_462191|2020-03-25,2020.22950819672,8400,551901.181437095,711465.568307676
hCoV-19/Belgium/Rega-0329231/2020|EPI_ISL_458201|2020-03-29|Europe,2020.24043715847,7350,602398.750274499,625338.074727439
hCoV-19/Belgium/UGent-69/2020|EPI_ISL_451180|2020-04-14|Europe,2020.28415300546,NA,NA,NA
hCoV-19/Belgium/PJM-0325166/2020|EPI_ISL_420423|2020-03-25|Europe,2020.22950819672,7060,626543.078334576,641523.162113341
hCoV-19/Belgium/ULG-8595/2020|EPI_ISL_418634|2020-03-19|Europe,2020.2131147541,6200,658657.465753118,620300.527778712
hCoV-19/Belgium/ULG-7921/2020|EPI_ISL_447136|2020-03-17|Europe,2020.20765027322,6200,662537.500787675,618885.956624123
hCoV-19/Belgium/20A49/2020|EPI_ISL_452151|2020-04-14|Europe,2020.28415300546,NA,NA,NA
hCoV-19/Belgium/ULG-0536/2020|EPI_ISL_447133|2020-03-24|Europe,2020.22677595628,4830,761228.466248589,641870.818957743
hCoV-19/Belgium/LPDC-0323115/2020|EPI_ISL_420372|2020-03-23|Europe,2020.22404371585,1190,646653.127556618,666511.884290741
hCoV-19/Belgium/ULG-10077/2020|EPI_ISL_424642|2020-04-04|Europe,2020.25683060109,4460,722068.605987602,645475.805167229
hCoV-19/Belgium/ULG-0189/2020|EPI_ISL_447129|2020-03-23|Europe,2020.22404371585,4852,759267.291260263,658082.876653976
hCoV-19/Belgium/ULG-10100/2020|EPI_ISL_427351|2020-04-07|Europe,2020.2650273224,4602,742463.772057467,654414.060446384
hCoV-19/Belgium/ULG-10081/2020|EPI_ISL_424640|2020-04-03|Europe,2020.25409836066,4050,738952.547159649,642194.815864786
hCoV-19/Belgium/ULG-9716/2020|EPI_ISL_418657|2020-03-22|Europe,2020.22131147541,4053,737004.216225384,642810.179117121
hCoV-19/Belgium/ULG-10040/2020|EPI_ISL_421208|2020-03-30|Europe,2020.24316939891,4610,742679.81270325,648231.883716538
hCoV-19/Belgium/ULG-10008/2020|EPI_ISL_421187|2020-03-30|Europe,2020.24316939891,4470,721663.707075135,643827.755001683
hCoV-19/Belgium/ULG-9558/2020|EPI_ISL_418645|2020-03-21|Europe,2020.21857923497,4020,737138.109501098,647796.76862743
hCoV-19/Belgium/ULG-10060/2020|EPI_ISL_424663|2020-04-05|Europe,2020.25956284153,4000,733161.461185178,652301.174790691
hCoV-19/Belgium/FA-0328311/2020|EPI_ISL_462165|2020-03-28,2020.23770491803,7300,608590.815232051,624179.187155195
hCoV-19/Belgium/ULG-10141/2020|EPI_ISL_427386|2020-04-08|Europe,2020.26775956284,4140,739383.812451488,633748.164297712
hCoV-19/Belgium/UGent-57/2020|EPI_ISL_451168|2020-04-03|Europe,2020.25409836066,NA,NA,NA
hCoV-19/Belgium/ULG-10112/2020|EPI_ISL_427362|2020-04-06|Europe,2020.26229508197,4100,733057.071505698,640206.875756575
hCoV-19/Belgium/ULG-9647/2020|EPI_ISL_418653|2020-03-22|Europe,2020.22131147541,4000,733824.488783644,653238.419140742
hCoV-19/Belgium/FAE-030948/2020|EPI_ISL_420445|2020-03-09|Europe,2020.18579234973,4020,740915.110947993,652014.872117438
hCoV-19/Belgium/ZF-0325152/2020|EPI_ISL_420409|2020-03-25|Europe,2020.22950819672,7522,572947.73524852,643208.331351776
hCoV-19/Belgium/AA-0408412/2020|EPI_ISL_462266|2020-04-08,2020.26775956284,7971,600726.7701768,636604.286342663
hCoV-19/Belgium/PS-0408413/2020|EPI_ISL_462267|2020-04-08,2020.26775956284,7601,595883.421515817,636159.356238246
hCoV-19/Belgium/ULG-9739/2020|EPI_ISL_418663|2020-03-22|Europe,2020.22131147541,4000,735610.123770537,650669.474068418
hCoV-19/Belgium/Rega-0320258/2020|EPI_ISL_458228|2020-03-20|Europe,2020.21584699454,3080,662715.419970953,670388.820260726
hCoV-19/Belgium/LPJ-0401364/2020|EPI_ISL_462218|2020-04-01,2020.24863387978,3401,701699.604003833,656187.345582445
hCoV-19/Belgium/ULG-6839/2020|EPI_ISL_447120|2020-03-14|Europe,2020.19945355191,4700,783979.285214997,647526.239964734
hCoV-19/Belgium/ULG-10119/2020|EPI_ISL_427367|2020-04-07|Europe,2020.2650273224,4430,732657.353275141,650502.383354557
hCoV-19/Belgium/ULG-10159/2020|EPI_ISL_447154|2020-04-18|Europe,2020.29508196721,4020,740717.125341139,647763.693476816
hCoV-19/Belgium/SN-0331360/2020|EPI_ISL_462214|2020-03-31,2020.24590163934,1330,660943.764403332,656950.899064429
hCoV-19/Belgium/ULG-10128/2020|EPI_ISL_427374|2020-04-07|Europe,2020.2650273224,4030,738534.052182053,646743.38082659
hCoV-19/Belgium/EC-0325128/2020|EPI_ISL_420385|2020-03-25|Europe,2020.22950819672,1470,660472.799401023,645213.27837536
hCoV-19/Belgium/UGent-66/2020|EPI_ISL_451177|2020-04-08|Europe,2020.26775956284,NA,NA,NA
hCoV-19/Belgium/ULG-10122/2020|EPI_ISL_427370|2020-04-07|Europe,2020.2650273224,4830,761202.136617707,646018.944880149
hCoV-19/Belgium/ULG-10143/2020|EPI_ISL_427387|2020-04-07|Europe,2020.2650273224,3790,751230.843956215,660347.033518613
hCoV-19/Belgium/DCS-0325158/2020|EPI_ISL_420415|2020-03-25|Europe,2020.22950819672,6061,659195.08116962,620882.147130081
hCoV-19/Belgium/GLA-0324179/2020|EPI_ISL_420436|2020-03-24|Europe,2020.22677595628,6040,655167.334328875,626602.093001581
hCoV-19/Belgium/NKMA-0324172/2020|EPI_ISL_420429|2020-03-24|Europe,2020.22677595628,7950,604839.961196904,638828.448737194
hCoV-19/Belgium/Rega-0327212/2020|EPI_ISL_458182|2020-03-27|Europe,2020.2349726776,7060,630017.612253304,639718.972304918
hCoV-19/Belgium/Rega-0328205/2020|EPI_ISL_458175|2020-03-28|Europe,2020.23770491803,1020,648118.698939596,676821.442910345
hCoV-19/Belgium/NA-0323141/2020|EPI_ISL_420398|2020-03-23|Europe,2020.22404371585,1410,651680.146940532,657578.942935312
hCoV-19/Belgium/CK-0324150/2020|EPI_ISL_420407|2020-03-24|Europe,2020.22677595628,7972,601025.538541939,635196.628884376
hCoV-19/Belgium/UGent-42/2020|EPI_ISL_434358|2020-04-13|Europe,2020.28142076503,NA,NA,NA
hCoV-19/Belgium/ULG-10047/2020|EPI_ISL_421214|2020-03-30|Europe,2020.24316939891,4480,723190.927667398,637258.173479425
hCoV-19/Belgium/ULG-10038/2020|EPI_ISL_427346|2020-03-30|Europe,2020.24316939891,4041,736548.859441932,654591.208326429
hCoV-19/Belgium/ULG-10033/2020|EPI_ISL_421207|2020-03-31|Europe,2020.24590163934,4800,754333.657469331,644138.341118424
hCoV-19/Belgium/ULG-10154/2020|EPI_ISL_447150|2020-04-18|Europe,2020.29508196721,4051,739260.79746163,643798.614983222
hCoV-19/Belgium/ULG-10152/2020|EPI_ISL_447140|2020-04-18|Europe,2020.29508196721,4100,732228.320292446,639248.937911436
hCoV-19/Belgium/OS-0325137/2020|EPI_ISL_420394|2020-03-25|Europe,2020.22950819672,1150,655534.436721049,669331.86243515
hCoV-19/Belgium/Rega-0328191/2020|EPI_ISL_458161|2020-03-28|Europe,2020.23770491803,7370,605315.150866802,620010.041786515
hCoV-19/Belgium/ULG-10162/2020|EPI_ISL_447156|2020-04-18|Europe,2020.29508196721,4900,756147.996083106,627788.407395898
hCoV-19/Belgium/ULG-7729/2020|EPI_ISL_418630|2020-03-17|Europe,2020.20765027322,4400,725156.200044067,643393.001597768
hCoV-19/Belgium/ULG-9715/2020|EPI_ISL_418656|2020-03-22|Europe,2020.22131147541,4031,736369.952252812,642505.771597659
hCoV-19/Belgium/SC-0325380/2020|EPI_ISL_462234|2020-03-25,2020.22950819672,5070,671660.024361806,619734.868467993
hCoV-19/Belgium/MG-0402383/2020|EPI_ISL_462237|2020-04-02,2020.25136612022,6043,658136.028610079,626301.811131923
hCoV-19/Belgium/ULG-10062/2020|EPI_ISL_424664|2020-04-05|Europe,2020.25956284153,4100,731172.956283828,642991.210494966
hCoV-19/Belgium/ULG-10099/2020|EPI_ISL_427350|2020-04-06|Europe,2020.26229508197,4030,739792.941476986,647003.515901518
hCoV-19/Belgium/HMM-0317327/2020|EPI_ISL_462181|2020-03-17,2020.20765027322,4451,733731.999417695,653415.747300016
hCoV-19/Belgium/ULG-10092/2020|EPI_ISL_424647|2020-04-04|Europe,2020.25683060109,4480,718953.301150116,637270.108885924
hCoV-19/Belgium/CJM-0323175/2020|EPI_ISL_420432|2020-03-23|Europe,2020.22404371585,5988,NA,NA
hCoV-19/Belgium/RHA-0324177/2020|EPI_ISL_420434|2020-03-24|Europe,2020.22677595628,7333,607859.771193647,627245.613748266
hCoV-19/Belgium/Rega-0328195/2020|EPI_ISL_458165|2020-03-28|Europe,2020.23770491803,7370,612774.80932206,616647.149250765
hCoV-19/Belgium/PM-0324144/2020|EPI_ISL_420401|2020-03-24|Europe,2020.22677595628,7800,609597.321341237,649794.982502591
hCoV-19/Belgium/Rega-0329225/2020|EPI_ISL_458195|2020-03-29|Europe,2020.24043715847,7332,607888.192597033,633939.962632061
hCoV-19/Belgium/ULG-10094/2020|EPI_ISL_424650|2020-04-04|Europe,2020.25683060109,4140,741350.463134731,638352.706029381
hCoV-19/Belgium/ULG-10086/2020|EPI_ISL_424644|2020-04-04|Europe,2020.25683060109,4840,763906.602280075,650951.956194052
hCoV-19/Belgium/ULG-9618/2020|EPI_ISL_418648|2020-03-22|Europe,2020.22131147541,4570,712450.337350459,627200.31703903
hCoV-19/Belgium/ULG-9617/2020|EPI_ISL_418647|2020-03-22,2020.22131147541,4190,733338.677581932,621620.613947002
hCoV-19/Belgium/ULG-10190/2020|EPI_ISL_455978|2020-5-10|Europe,2020.35519125683,4130,736529.270962179,637639.398733141
hCoV-19/Belgium/BD0331362/2020|EPI_ISL_462216|2020-03-31,2020.24590163934,6567,635833.752442592,616549.059189302
hCoV-19/Belgium/PY-0407405/2020|EPI_ISL_462259|2020-04-07,2020.2650273224,1170,652429.097224776,664506.350504212
hCoV-19/Belgium/OT-0319109/2020|EPI_ISL_420365|2020-03-19|Europe,2020.2131147541,4020,739541.389202232,649742.848755743
hCoV-19/Belgium/ULG-9738/2020|EPI_ISL_418662|2020-03-22|Europe,2020.22131147541,4101,730381.676859369,645670.04006414
hCoV-19/Belgium/Rega-0330250/2020|EPI_ISL_458220|2020-03-30|Europe,2020.24316939891,7540,582647.217968648,646252.454387391
hCoV-19/Belgium/Rega-0329228/2020|EPI_ISL_458198|2020-03-29|Europe,2020.24043715847,9880,584913.416110936,691776.469879573
